代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1590,亞德客-KY,108,Q2,1754254.0
1590,亞德客-KY,108,Q4,5148167.0
1590,亞德客-KY,108,Q1,1213167.0
1591,駿吉-KY,108,Q2,64042.0
1591,駿吉-KY,108,Q1,33393.0
1591,駿吉-KY,108,Q4,117918.0
1591,駿吉-KY,108,Q3,134923.0
1593,祺驊,108,Q2,26614.0
1593,祺驊,108,Q1,20400.0
1593,祺驊,108,Q4,121340.0
1593,祺驊,108,Q3,65214.0
1595,川寶,108,Q2,812.0
1595,川寶,108,Q3,25847.0
1595,川寶,108,Q1,48935.0
1595,川寶,108,Q4,90583.0
1597,直得,108,Q1,32282.0
1597,直得,108,Q2,38510.0
1597,直得,108,Q3,45022.0
1597,直得,108,Q4,164536.0
1598,岱宇,108,Q2,87749.0
1598,岱宇,108,Q1,63663.0
1598,岱宇,108,Q4,411747.0
1598,岱宇,108,Q3,303380.0
1599,宏佳騰,108,Q4,29215.0
1599,宏佳騰,108,Q1,15322.0
1599,宏佳騰,108,Q2,49181.0
1599,宏佳騰,108,Q3,23579.0
1603,華電,108,Q1,144638.0
1603,華電,108,Q3,166608.0
1603,華電,108,Q2,185953.0
1603,華電,108,Q4,253443.0
1604,聲寶,108,Q1,163375.0
1604,聲寶,108,Q3,940911.0
1604,聲寶,108,Q2,491127.0
1604,聲寶,108,Q4,513686.0
1605,華新,108,Q1,240836.0
1605,華新,108,Q4,8627191.0
1605,華新,108,Q2,1832750.0
1605,華新,108,Q3,5439302.0
1608,華榮,108,Q1,229311.0
1608,華榮,108,Q3,38937.0
1608,華榮,108,Q4,79594.0
1608,華榮,108,Q2,339798.0
1609,大亞,108,Q2,131919.0
1609,大亞,108,Q4,605594.0
1609,大亞,108,Q1,245228.0
1609,大亞,108,Q3,259047.0
1611,中電,108,Q3,264255.0
1611,中電,108,Q1,36800.0
1611,中電,108,Q4,274006.0
1611,中電,108,Q2,85.0
1612,宏泰,108,Q1,22819.0
1612,宏泰,108,Q2,229474.0
1612,宏泰,108,Q4,57608.0
1612,宏泰,108,Q3,203154.0
1614,三洋電,108,Q4,592835.0
1614,三洋電,108,Q2,85378.0
1614,三洋電,108,Q1,49518.0
1614,三洋電,108,Q3,514836.0
1615,大山,108,Q2,93557.0
1615,大山,108,Q4,910.0
1615,大山,108,Q1,56682.0
1615,大山,108,Q3,46148.0
1616,億泰,108,Q4,377268.0
1616,億泰,108,Q1,49458.0
1616,億泰,108,Q3,18182.0
1616,億泰,108,Q2,94666.0
1617,榮星,108,Q1,172810.0
1617,榮星,108,Q2,169991.0
1617,榮星,108,Q3,256973.0
1617,榮星,108,Q4,257148.0
1618,合機,108,Q2,72236.0
1618,合機,108,Q1,44139.0
1618,合機,108,Q4,239555.0
1618,合機,108,Q3,161318.0
1626,艾美特-KY,108,Q2,1334959.0
1626,艾美特-KY,108,Q1,144526.0
1626,艾美特-KY,108,Q4,1456592.0
1626,艾美特-KY,108,Q3,1333550.0
1702,南僑,108,Q3,1561470.0
1702,南僑,108,Q2,1100159.0
1702,南僑,108,Q1,529894.0
1702,南僑,108,Q4,2539792.0
1707,葡萄王,108,Q2,670078.0
1707,葡萄王,108,Q3,964997.0
1707,葡萄王,108,Q1,136079.0
1707,葡萄王,108,Q4,2171439.0
1708,東鹼,108,Q3,332142.0
1708,東鹼,108,Q2,230132.0
1708,東鹼,108,Q1,72418.0
1708,東鹼,108,Q4,650805.0
1709,和益,108,Q1,46163.0
1709,和益,108,Q2,507771.0
1709,和益,108,Q3,456343.0
1709,和益,108,Q4,933679.0
1710,東聯,108,Q1,545160.0
1710,東聯,108,Q2,1235335.0
1710,東聯,108,Q4,747297.0
1710,東聯,108,Q3,720737.0
1711,永光,108,Q4,1290380.0
1711,永光,108,Q1,237643.0
1711,永光,108,Q2,473523.0
1711,永光,108,Q3,772780.0
1712,興農,108,Q2,801517.0
1712,興農,108,Q3,1112306.0
1712,興農,108,Q1,247982.0
1712,興農,108,Q4,1741948.0
1713,國化,108,Q2,24616.0
1713,國化,108,Q1,20964.0
1713,國化,108,Q3,28966.0
1713,國化,108,Q4,4322.0
1714,和桐,108,Q2,612216.0
1714,和桐,108,Q3,585590.0
1714,和桐,108,Q1,125471.0
1714,和桐,108,Q4,2099278.0
1717,長興,108,Q4,4946144.0
1717,長興,108,Q2,2076057.0
1717,長興,108,Q3,4125245.0
1717,長興,108,Q1,984350.0
1718,中纖,108,Q4,18013327.0
1718,中纖,108,Q3,6099917.0
1718,中纖,108,Q1,5672374.0
1718,中纖,108,Q2,5404666.0
1720,生達,108,Q4,637939.0
1720,生達,108,Q1,155292.0
1720,生達,108,Q2,304560.0
1720,生達,108,Q3,388587.0
1721,三晃,108,Q3,84611.0
1721,三晃,108,Q4,218633.0
1721,三晃,108,Q1,13085.0
1721,三晃,108,Q2,116562.0
1722,台肥,108,Q3,2504108.0
1722,台肥,108,Q2,1745659.0
1722,台肥,108,Q1,1205019.0
1722,台肥,108,Q4,3718036.0
1723,中碳,108,Q2,844689.0
1723,中碳,108,Q4,1542235.0
1723,中碳,108,Q1,635589.0
1723,中碳,108,Q3,1172225.0
1725,元禎,108,Q4,382391.0
1725,元禎,108,Q1,126218.0
1725,元禎,108,Q3,316171.0
1725,元禎,108,Q2,62763.0
1726,永記,108,Q4,415744.0
1726,永記,108,Q1,160473.0
1726,永記,108,Q3,665125.0
1726,永記,108,Q2,151754.0
1727,中華化,108,Q4,250242.0
1727,中華化,108,Q1,84128.0
1727,中華化,108,Q2,93872.0
1727,中華化,108,Q3,162261.0
1730,花仙子,108,Q3,561954.0
1730,花仙子,108,Q4,571062.0
1730,花仙子,108,Q2,426992.0
1730,花仙子,108,Q1,202000.0
1731,美吾華,108,Q1,31316.0
