代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1432,大魯閣,113,Y1,114/05/26,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1434,福懋,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.8,0.0,0.0,1347731710,0.0,0.0,0.0,0
1435,中福,113,Y1,114/06/20,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1436,華友聯,113,Y1,114/05/22,113/01/01~113/12/31,現金股利經董事會決議、增資配股經股東會確認,10.12236018,0.0,0.0,1300000000,3.11457236,0.0,0.0,40000000
1437,勤益控,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.35,0.0,0.0,274551234,0.0,0.0,0.0,0
1438,三地開發,113,Y1,114/06/23,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1439,雋揚,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.3,0.0,0.0,27600000,0.0,0.0,0.0,0
1440,南紡,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.3,0.0,0.0,497044757,0.0,0.0,0.0,0
1441,大東,113,Y1,114/05/28,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1442,名軒,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,4.5,0.0,0.0,1647951111,0.0,0.0,0.0,0
1443,立益物流,113,Y1,114/06/11,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1444,力麗,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1445,大宇,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,65333017,0.0,0.0,0.0,0
1446,宏和,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,2.0,0.0,0.0,275419026,0.0,0.0,0.0,0
1447,力鵬,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1449,佳和,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.38999995,4020662
1451,年興,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.0,0.0,0.0,198000000,0.0,0.0,0.0,0
1452,宏益,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,66320700,0.0,0.0,0.0,0
1453,大將,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.3,0.0,0.0,3298342
1454,台富,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.25,0.0,0.0,32458462,0.0,0.0,0.0,0
1455,集盛,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1456,怡華,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1457,宜進,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.0,0.0,0.0,316730022,0.0,0.0,0.0,0
1459,聯發,113,Y1,114/06/25,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1460,宏遠,113,Y1,114/05/23,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1463,強盛新,113,Y1,114/05/27,113/01/01~113/12/31,股東會確認,2.1,0.0,0.0,363863600,0.0,0.0,0.0,0
1464,得力,113,Y1,114/06/10,113/01/01~113/12/31,股東會確認,0.5,0.0,0.0,203819796,0.44,0.0,0.0,17936142
1465,偉全,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.6,0.0,0.0,62164360,0.0,0.0,0.0,0
1466,聚隆,113,Y1,114/06/17,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1467,南緯,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1468,昶和,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1470,大統新創,113,H2,不適用,113/07/01~113/12/31,董事會決議,1.01,0.0,0.0,86624670,0.0,0.0,0.0,0
1471,首利,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1472,三洋實業,113,Y1,114/05/28,113/01/01~113/12/31,股東會確認,3.0,0.0,0.0,157464246,0.0,0.0,0.0,0
1473,台南,113,Y1,114/05/26,113/01/01~113/12/31,股東會確認,2.0,0.0,0.0,292307068,0.0,0.0,0.0,0
1474,弘裕,113,Y1,114/06/26,113/01/01~113/12/31,股東會確認,0.4,0.0,0.0,51958788,0.0,0.0,0.0,0
1475,業旺,113,Y1,不適用,113/01/01~113/12/31,董事會決議,3.6,0.0,0.0,237660296,0.0,0.0,0.0,0
1476,儒鴻,113,Y1,不適用,113/01/01~113/12/31,董事會決議,17.0,0.0,0.0,4664240887,0.0,0.0,0.0,0
1477,聚陽,113,H1,不適用,113/01/01~113/06/30,董事會決議,7.0,0.0,0.0,1692996067,0.0,0.0,0.0,0
1477,聚陽,113,H2,不適用,113/07/01~113/12/31,董事會決議,10.1,0.0,0.0,2491606501,0.0,0.0,0.0,0
1503,士電,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,4.5,0.0,0.0,2344375004,0.0,0.0,0.0,0
1504,東元,113,Y1,不適用,113/01/01~113/12/31,董事會決議,2.2,0.0,0.0,4705352555,0.0,0.0,0.0,0
1506,正道,113,Y1,114/06/10,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1512,瑞利,113,Y1,114/06/24,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1513,中興電,113,Y1,114/05/23,113/01/01~113/12/31,股東會確認,4.6,0.0,0.0,2314317569,0.0,0.0,0.0,0
1514,亞力,113,Y1,114/06/11,113/01/01~113/12/31,股東會確認,1.7,0.0,0.0,455046415,0.2,0.0,0.0,5353487
1515,力山,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.0,0.0,0.0,181473500,0.0,0.0,0.0,0
1516,川飛,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1517,利奇,113,Y1,114/06/26,113/01/01~113/12/31,股東會確認,0.2,0.0,0.0,44660001,0.0,0.0,0.0,0
1519,華城,113,Y1,114/06/13,113/01/01~113/12/31,現金股利經董事會決議、增資配股經董事會擬議,9.0,0.0,0.0,2584479627,1.0,0.0,0.0,28716441
1521,大億,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.0,0.0,0.0,76230000,0.0,0.0,0.0,0
1522,堤維西,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,3.0,0.0,0.0,938693643,0.0,0.0,0.0,0
1522A,堤維西甲特,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,2.0,0.0,0.0,60000000,0.0,0.0,0.0,0
