stock_code,stock_name,price,market,date,updated_at
00984A,主動安聯台灣高息,14.76,TSE,2026-07-24,2026-07-25 19:05:03
00984D,主動聯博全球非投,10.17,TSE,2026-07-24,2026-07-25 19:05:03
00985A,主動野村台灣50,20.63,TSE,2026-07-24,2026-07-25 19:05:03
00985B,群益ESG投等債0-5,10.37,TSE,2026-07-24,2026-07-25 19:05:03
00986A,主動台新龍頭成長,14.53,TSE,2026-07-24,2026-07-25 19:05:03
00987A,主動台新優勢成長,14.28,TSE,2026-07-24,2026-07-25 19:05:03
00988A,主動統一全球創新,17.22,TSE,2026-07-24,2026-07-25 19:05:03
00989A,主動摩根美國科技,16.77,TSE,2026-07-24,2026-07-25 19:05:03
00990A,主動元大AI新經濟,16.36,TSE,2026-07-24,2026-07-25 19:05:03
00991A,主動復華未來50,16.42,TSE,2026-07-24,2026-07-25 19:05:03
00992A,主動群益科技創新,15.67,TSE,2026-07-24,2026-07-25 19:05:03
00993A,主動安聯台灣,12.25,TSE,2026-07-24,2026-07-25 19:05:03
00994A,主動第一金台股優,15.5,TSE,2026-07-24,2026-07-25 19:05:03
00995A,主動中信台灣卓越,15.96,TSE,2026-07-24,2026-07-25 19:05:03
00996A,主動兆豐台灣豐收,13.18,TSE,2026-07-24,2026-07-25 19:05:03
00997A,主動群益美國增長,11.47,TSE,2026-07-24,2026-07-25 19:05:03
00999A,主動野村臺灣高息,10.28,TSE,2026-07-24,2026-07-25 19:05:03
01001T,土銀富邦R1,11.36,TSE,2026-07-24,2026-07-25 19:05:03
01002T,土銀國泰R1,13.69,TSE,2026-07-24,2026-07-25 19:05:03
01004T,土銀富邦R2,10.28,TSE,2026-07-24,2026-07-25 19:05:03
01007T,兆豐國泰R2,12.25,TSE,2026-07-24,2026-07-25 19:05:03
01009T,王道圓滿R1,5.71,TSE,2026-07-24,2026-07-25 19:05:03
01010T,京城樂富R1,10.0,TSE,2026-07-24,2026-07-25 19:05:03
020000,富邦特選蘋果N,0.0,TSE,2026-07-24,2026-07-25 19:05:03
020012,富邦行動通訊N,0.0,TSE,2026-07-24,2026-07-25 19:05:03
02001L,富邦蘋果正二N,133.45,TSE,2026-07-24,2026-07-25 19:05:03
020020,元大台股領航N,26.03,TSE,2026-07-24,2026-07-25 19:05:03
020028,元大特選電動車N,18.97,TSE,2026-07-24,2026-07-25 19:05:03
020029,元大ESG高股息N,18.01,TSE,2026-07-24,2026-07-25 19:05:03
020030,統一智慧電動車N,17.3,TSE,2026-07-24,2026-07-25 19:05:03
020031,統一IC設計臺灣N,9.49,TSE,2026-07-24,2026-07-25 19:05:03
020032,元大綠能N,0.0,TSE,2026-07-24,2026-07-25 19:05:03
020034,元大IC設計N,13.21,TSE,2026-07-24,2026-07-25 19:05:03
020036,元大金融配息N,9.91,TSE,2026-07-24,2026-07-25 19:05:03
020037,元大金融高股息N,11.11,TSE,2026-07-24,2026-07-25 19:05:03
020038,元大ESG配息N,13.84,TSE,2026-07-24,2026-07-25 19:05:03
020039,元大加權N,13.99,TSE,2026-07-24,2026-07-25 19:05:03
030012,AES凱基57購02,0.01,TSE,2026-07-24,2026-07-25 19:05:03
03001T,啟碁台新5A售02,0.98,TSE,2026-07-24,2026-07-25 19:05:03
03002T,台積電群益5A售12,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03003T,聯發科群益5A售09,0.03,TSE,2026-07-24,2026-07-25 19:05:03
030040,群創群益57購01,32.8,TSE,2026-07-24,2026-07-25 19:05:03
030044,臻鼎群益57購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03004T,臺股指群益5C售05,0.23,TSE,2026-07-24,2026-07-25 19:05:03
03005T,臺股指群益5C售06,0.28,TSE,2026-07-24,2026-07-25 19:05:03
03006T,臺股指群益5C售07,0.41,TSE,2026-07-24,2026-07-25 19:05:03
03006X,元展06,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030079,南亞統一59購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
