代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1321,大洋,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,227228268,0.0,0.0,0.0,0
1323,永裕,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.6,0.0,0.0,146039286,0.0,0.0,0.0,0
1323,永裕,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.6,0.0,0.0,146039286,0.0,0.0,0.0,0
1323,永裕,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.6,0.0,0.0,146039286,0.0,0.0,0.0,0
1324,地球,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.3,0.0,0.0,22536565,0.0,0.0,0.0,0
1324,地球,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.3,0.0,0.0,22536565,0.0,0.0,0.0,0
1324,地球,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.3,0.0,0.0,22536565,0.0,0.0,0.0,0
1325,恆大,109,Y1,不適用,109/01/01~109/12/31,董事會決議,12.0,0.0,0.0,1023374376,0.0,0.0,0.0,0
1325,恆大,109,Y1,不適用,109/01/01~109/12/31,董事會決議,12.0,0.0,0.0,1023374376,0.0,0.0,0.0,0
1325,恆大,109,Y1,不適用,109/01/01~109/12/31,董事會決議,12.0,0.0,0.0,1023374376,0.0,0.0,0.0,0
1326,台化,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,14652965728,0.0,0.0,0.0,0
1326,台化,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,14652965728,0.0,0.0,0.0,0
1326,台化,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,14652965728,0.0,0.0,0.0,0
1336,台翰,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,115647628,0.0,0.0,0.0,0
1336,台翰,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,115647628,0.0,0.0,0.0,0
1336,台翰,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,115647628,0.0,0.0,0.0,0
1337,再生-KY,109,Y1,110/06/16,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1337,再生-KY,109,Y1,110/06/16,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1337,再生-KY,109,Y1,110/06/16,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1338,廣華-KY,109,Y1,110/06/09,109/01/01~109/12/31,股東會確認,3.5,0.0,0.0,293440000,0.0,0.0,0.0,0
1338,廣華-KY,109,Y1,110/06/09,109/01/01~109/12/31,股東會確認,3.5,0.0,0.0,293440000,0.0,0.0,0.0,0
1338,廣華-KY,109,Y1,110/06/09,109/01/01~109/12/31,股東會確認,3.5,0.0,0.0,293440000,0.0,0.0,0.0,0
1339,昭輝,109,Y1,110/05/31,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,148247750,0.0,0.0,0.0,0
1339,昭輝,109,Y1,110/05/31,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,148247750,0.0,0.0,0.0,0
1339,昭輝,109,Y1,110/05/31,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,148247750,0.0,0.0,0.0,0
1340,勝悅-KY,109,Y1,110/06/30,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1340,勝悅-KY,109,Y1,110/06/30,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1340,勝悅-KY,109,Y1,110/06/30,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1341,富林-KY,109,Y1,110/06/03,109/01/01~109/12/31,股東會確認,5.0,0.0,1.0,296400000,0.0,0.0,0.0,0
1341,富林-KY,109,Y1,110/06/03,109/01/01~109/12/31,股東會確認,5.0,0.0,1.0,296400000,0.0,0.0,0.0,0
1341,富林-KY,109,Y1,110/06/03,109/01/01~109/12/31,股東會確認,5.0,0.0,1.0,296400000,0.0,0.0,0.0,0
1342,八貫,109,Y1,110/05/18,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,169613408,0.0,0.0,0.0,0
1342,八貫,109,Y1,110/05/18,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,169613408,0.0,0.0,0.0,0
1342,八貫,109,Y1,110/05/18,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,169613408,0.0,0.0,0.0,0
1402,遠東新,109,Y1,110/06/30,109/01/01~109/12/31,股東會確認,1.35,0.0,0.0,7226381556,0.0,0.0,0.0,0
1402,遠東新,109,Y1,110/06/30,109/01/01~109/12/31,股東會確認,1.35,0.0,0.0,7226381556,0.0,0.0,0.0,0
1402,遠東新,109,Y1,110/06/30,109/01/01~109/12/31,股東會確認,1.35,0.0,0.0,7226381556,0.0,0.0,0.0,0
1409,新纖,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.1,0.0,0.0,1780250220,0.0,0.0,0.0,0
1409,新纖,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.1,0.0,0.0,1780250220,0.0,0.0,0.0,0
1409,新纖,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.1,0.0,0.0,1780250220,0.0,0.0,0.0,0
1410,南染,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.9,0.0,0.0,56700000,0.0,0.0,0.0,0
1410,南染,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.9,0.0,0.0,56700000,0.0,0.0,0.0,0
1410,南染,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.9,0.0,0.0,56700000,0.0,0.0,0.0,0
1413,宏洲,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1413,宏洲,109,H2,不適用,109/07/01~109/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1413,宏洲,109,H2,不適用,109/07/01~109/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1413,宏洲,109,H2,不適用,109/07/01~109/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1413,宏洲,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1413,宏洲,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1414,東和,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,0.246,0.0,0.0,54120000,0.0,0.0,0.0,0
1414,東和,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,0.246,0.0,0.0,54120000,0.0,0.0,0.0,0
