出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1440","南紡","12475523.00","32388163.00","44863686.00","11587767.00","8013006.00","19600773.00","16568159.00","64650.00","8528562.00","-61338.00","--","25100033.00","--","--","162880.00","25262913.00","0.00","0.00","0.00","15.15"
"114/10/29","107","2","1441","大東","876340.00","1727971.00","2604311.00","807643.00","147451.00","955094.00","781124.00","0.00","730457.00","137636.00","--","1649217.00","--","--","--","1649217.00","0.00","0.00","0.00","21.11"
"114/10/29","107","2","1442","名軒","9488384.00","730645.00","10219029.00","1490717.00","3506598.00","4997315.00","3004040.00","928563.00","1286002.00","3109.00","--","5221714.00","--","--","--","5221714.00","--","0.00","0.00","17.38"
"114/10/29","107","2","1443","立益物流","1037144.00","3591267.00","4628411.00","3398912.00","852058.00","4250970.00","1353430.00","701.00","-472505.00","31403.00","-9056.00","903973.00","--","--","-526532.00","377441.00","0.00","0.00","460610.00","6.70"
"114/10/29","107","2","1444","力麗","5996986.00","13383610.00","19380596.00","5256034.00","2198898.00","7454932.00","9573029.00","72229.00","957710.00","142215.00","-28470.00","10716713.00","--","--","1208951.00","11925664.00","--","0.00","10774028.00","11.32"
"114/10/29","107","2","1445","大宇","1058932.00","1115513.00","2174445.00","197418.00","164024.00","361442.00","1386670.00","158669.00","244997.00","22667.00","0.00","1813003.00","--","--","0.00","1813003.00","0.00","0.00","0.00","13.07"
"114/10/29","107","2","1446","宏和","3250228.00","557783.00","3808011.00","562666.00","1619559.00","2182225.00","1377095.00","199279.00","97474.00","-48062.00","0.00","1625786.00","--","--","0.00","1625786.00","0.00","0.00","0.00","11.81"
"114/10/29","107","2","1447","力鵬","8855340.00","10646550.00","19501890.00","5560525.00","2936872.00","8497397.00","9144872.00","117730.00","1558750.00","-223533.00","-357738.00","10240081.00","--","--","764412.00","11004493.00","--","0.00","82948106.00","12.31"
"114/10/29","107","2","1449","佳和","2124902.00","3436804.00","5561706.00","2391845.00","2308490.00","4700335.00","1200000.00","35165.00","-1041326.00","465826.00","-14290.00","645375.00","--","--","215996.00","861371.00","--","0.00","317686.00","5.39"
"114/10/29","107","2","1451","年興","7001336.00","4077912.00","11079248.00","3027778.00","712864.00","3740642.00","1980000.00","419715.00","5260491.00","-321680.00","--","7338526.00","--","--","80.00","7338606.00","--","0.00","0.00","37.06"
"114/10/29","107","2","1452","宏益","1815784.00","948965.00","2764749.00","339318.00","54899.00","394217.00","1326414.00","151962.00","881417.00","10739.00","--","2370532.00","--","--","--","2370532.00","0.00","0.00","0.00","17.87"
"114/10/29","107","2","1453","大將","1156668.00","210742.00","1367410.00","26976.00","60.00","27036.00","896747.00","2762.00","427909.00","0.00","--","1327418.00","--","--","12956.00","1340374.00","--","0.00","0.00","14.80"
"114/10/29","107","2","1454","台富","1262720.00","893338.00","2156058.00","478015.00","82449.00","560464.00","1403098.00","73265.00","110903.00","85346.00","-77032.00","1595580.00","--","--","14.00","1595594.00","--","0.00","7714103.00","12.03"
"114/10/29","107","2","1455","集盛","6181530.00","6067164.00","12248694.00","4164666.00","293280.00","4457946.00","6117634.00","360356.00","1304340.00","8418.00","--","7790748.00","--","--","--","7790748.00","--","0.00","0.00","12.73"
"114/10/29","107","2","1456","怡華","2718328.00","1963608.00","4681936.00","1817891.00","1727054.00","3544945.00","937200.00","18377.00","1147400.00","-965986.00","--","--","--","--","--","1136991.00","0.00","0.00","0.00","12.13"
"114/10/29","107","2","1457","宜進","2088104.00","13393757.00","15481861.00","2216647.00","6069135.00","8285782.00","3016476.00","367742.00","1085710.00","56359.00","-263586.00","4262701.00","--","--","2933378.00","7196079.00","0.00","0.00","67767880.00","18.23"
"114/10/29","107","2","1459","聯發","4513474.00","4011166.00","8524640.00","3216114.00","1600549.00","4816663.00","3586289.00","215316.00","496686.00","-222325.00","-513573.00","3562393.00","--","--","145584.00","3707977.00","--","0.00","41144531.00","11.22"
"114/10/29","107","2","1460","宏遠","5505644.00","6338010.00","11843654.00","5629955.00","1075347.00","6705302.00","4998374.00","99644.00","425461.00","-52304.00","-332836.00","5138339.00","--","--","13.00","5138352.00","--","0.00","25054848.00","11.05"
"114/10/29","107","2","1463","強盛新","1957479.00","1154149.00","3111628.00","702465.00","98209.00","800674.00","1732684.00","221939.00","385336.00","-38849.00","-108791.00","2192319.00","--","--","118635.00","2310954.00","0.00","0.00","8874795.00","13.34"
"114/10/29","107","2","1464","得力","8259530.00","7429914.00","15689444.00","7473034.00","3098055.00","10571089.00","3345657.00","651460.00","613531.00","-211241.00","-12681.00","4386726.00","--","--","731629.00","5118355.00","--","0.00","1137197.00","13.16"
"114/10/29","107","2","1465","偉全","1744970.00","668036.00","2413006.00","322604.00","22748.00","345352.00","1036073.00","353488.00","303512.00","-31842.00","--","1661231.00","--","--","406423.00","2067654.00","--","0.00","0.00","16.03"
"114/10/29","107","2","1466","聚隆","1745933.00","2044491.00","3790424.00","1149837.00","930842.00","2080679.00","1111573.00","452298.00","149599.00","-3725.00","0.00","1709745.00","0.00","--","0.00","1709745.00","0.00","0.00","0.00","15.38"
"114/10/29","107","2","1467","南緯","4010319.00","3277226.00","7287545.00","3369074.00","1620562.00","4989636.00","2102622.00","231746.00","159448.00","-310389.00","--","2183427.00","--","--","114482.00","2297909.00","0.00","0.00","0.00","10.38"
