出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","3","1720","生達","962804.00","-1203713.00","115455.00","15926.00","-109528.00","2564395.00","2454867.00"
"114/10/29","111","3","1721","三晃","131792.00","-151770.00","-3108.00","--","-23086.00","383297.00","360211.00"
"114/10/29","111","3","1722","台肥","3896087.00","-2358038.00","-2771391.00","131115.00","-1102227.00","2534695.00","1432468.00"
"114/10/29","111","3","1723","中碳","2006955.00","162432.00","-1365356.00","6446.00","810477.00","621616.00","1432093.00"
"114/10/29","111","3","1725","元禎","489272.00","-104046.00","-262512.00","32584.00","155298.00","542021.00","697319.00"
"114/10/29","111","3","1726","永記","92224.00","342338.00","-488324.00","105328.00","51566.00","1264134.00","1315700.00"
"114/10/29","111","3","1727","中華化","146194.00","-334208.00","286763.00","4036.00","102785.00","202387.00","305172.00"
"114/10/29","111","3","1730","花仙子","250183.00","-62220.00","-267507.00","12621.00","-66923.00","691762.00","624839.00"
"114/10/29","111","3","1731","美吾華","98844.00","157663.00","-329447.00","2002.00","-70938.00","238009.00","167071.00"
"114/10/29","111","3","1732","毛寶","8530.00","-30638.00","-16061.00","2998.00","-35171.00","165370.00","130199.00"
"114/10/29","111","3","1733","五鼎","28247.00","-34938.00","-185822.00","21163.00","-171350.00","555334.00","383984.00"
"114/10/29","111","3","1734","杏輝","276737.00","-65019.00","-217808.00","9760.00","3670.00","1194785.00","1198455.00"
"114/10/29","111","3","1735","日勝化","173838.00","-67588.00","-55236.00","1193.00","52207.00","228045.00","280252.00"
"114/10/29","111","3","1736","喬山","-766655.00","-440791.00","1418746.00","-175748.00","35552.00","2615077.00","2650629.00"
"114/10/29","111","3","1737","臺鹽","562003.00","-214571.00","-570185.00","514.00","-222239.00","1725781.00","1503542.00"
"114/10/29","111","3","1752","南光","145459.00","-77193.00","-198643.00","2.00","-130375.00","417123.00","286748.00"
"114/10/29","111","3","1760","寶齡富錦","370237.00","-98586.00","-224917.00","-998.00","45736.00","279103.00","324839.00"
"114/10/29","111","3","1762","中化生","567718.00","-250726.00","-202522.00","1930.00","116400.00","195250.00","311650.00"
"114/10/29","111","3","1773","勝一","1423772.00","-1889304.00","586554.00","21458.00","142480.00","302034.00","444514.00"
"114/10/29","111","3","1776","展宇","21759.00","-7709.00","-81340.00","-5881.00","-73171.00","527636.00","454465.00"
"114/10/29","111","3","1783","和康生","190346.00","9668.00","-1051.00","-136.00","198827.00","513305.00","712132.00"
"114/10/29","111","3","1786","科妍","141502.00","36833.00","584.00","33.00","178952.00","658917.00","837869.00"
"114/10/29","111","3","1789","神隆","668466.00","-171825.00","-341133.00","9276.00","164784.00","4080921.00","4245705.00"
"114/10/29","111","3","1795","美時","1880478.00","-3227607.00","835674.00","45041.00","-466414.00","1605495.00","1139081.00"
"114/10/29","111","3","1802","台玻","5054313.00","-2678774.00","-565099.00","1015247.00","2825687.00","8173805.00","10999492.00"
"114/10/29","111","3","1805","寶徠","114433.00","-2944.00","-66065.00","24.00","45448.00","58289.00","103737.00"
"114/10/29","111","3","1806","冠軍","313818.00","-320178.00","-583965.00","23866.00","-566459.00","2624014.00","2057555.00"
"114/10/29","111","3","1808","潤隆","-6347398.00","33996.00","5979748.00","--","-333654.00","2178382.00","1844728.00"
"114/10/29","111","3","1809","中釉","-171469.00","-175645.00","72427.00","59192.00","-215495.00","676684.00","461189.00"
"114/10/29","111","3","1810","和成","203750.00","-208010.00","-809458.00","24122.00","-789596.00","2162265.00","1372669.00"
"114/10/29","111","3","1817","凱撒衛","151796.00","-34719.00","-268777.00","63279.00","-88421.00","268186.00","179765.00"
"114/10/29","111","3","1903","士紙","357718.00","-176736.00","-199739.00","--","-18757.00","38502.00","19745.00"
"114/10/29","111","3","1904","正隆","2321351.00","-3648272.00","1308077.00","701150.00","682306.00","7075052.00","7757358.00"
