出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","108","1","1454","台富","-14014.00","-4827.00","-12766.00","--","-31607.00","116241.00","84634.00"
"114/10/29","108","1","1455","集盛","303689.00","-49081.00","-255212.00","226.00","-378.00","48924.00","48546.00"
"114/10/29","108","1","1456","怡華","-22752.00","35137.00","-21056.00","--","-8671.00","25033.00","16362.00"
"114/10/29","108","1","1457","宜進","397.00","265044.00","191936.00","--","457377.00","354656.00","812033.00"
"114/10/29","108","1","1459","聯發","180803.00","360.00","-69604.00","6401.00","117960.00","220576.00","338536.00"
"114/10/29","108","1","1460","宏遠","-69998.00","-191790.00","302232.00","762.00","41206.00","132349.00","173555.00"
"114/10/29","108","1","1463","強盛新","3338.00","-10398.00","-448.00","--","-7508.00","450475.00","442967.00"
"114/10/29","108","1","1464","得力","75507.00","-293416.00","559335.00","62615.00","404041.00","729832.00","1133873.00"
"114/10/29","108","1","1465","偉全","-43596.00","1428010.00","-746267.00","-2873.00","635274.00","344951.00","980225.00"
"114/10/29","108","1","1466","聚隆","-7766.00","-20120.00","-9885.00","--","-37771.00","76853.00","39082.00"
"114/10/29","108","1","1467","南緯","-167206.00","122979.00","-92772.00","8760.00","-128239.00","870864.00","742625.00"
"114/10/29","108","1","1468","昶和","38925.00","21699.00","3743.00","2916.00","67283.00","359697.00","426980.00"
"114/10/29","108","1","1470","大統新創","5268.00","-8544.00","-657.00","-39.00","-3972.00","97130.00","93158.00"
"114/10/29","108","1","1471","首利","-9925.00","6309.00","-30912.00","4784.00","-29744.00","204101.00","174357.00"
"114/10/29","108","1","1472","三洋實業","-41251.00","243521.00","23653.00","510.00","226433.00","91061.00","317494.00"
"114/10/29","108","1","1473","台南","15541.00","-13758.00","-96453.00","-2810.00","-97480.00","570874.00","473394.00"
"114/10/29","108","1","1474","弘裕","16270.00","-10288.00","59776.00","408.00","66166.00","639974.00","706140.00"
"114/10/29","108","1","1475","業旺","-3536.00","2906.00","0.00","-196.00","-826.00","24067.00","23241.00"
"114/10/29","108","1","1476","儒鴻","1750616.00","-241920.00","79552.00","-4548.00","1583700.00","2905110.00","4488810.00"
"114/10/29","108","1","1477","聚陽","471277.00","-92425.00","-356.00","11399.00","389895.00","1914489.00","2304384.00"
"114/10/29","108","1","1503","士電","379133.00","-267027.00","-306981.00","74404.00","-120471.00","2969922.00","2849451.00"
"114/10/29","108","1","1504","東元","-273535.00","-97993.00","-74636.00","429885.00","-16279.00","17535566.00","17519287.00"
"114/10/29","108","1","1506","正道","-70976.00","-49731.00","126158.00","7619.00","13070.00","223955.00","237025.00"
"114/10/29","108","1","1512","瑞利","42958.00","-11392.00","-30299.00","3861.00","5128.00","145961.00","151089.00"
"114/10/29","108","1","1513","中興電","653042.00","-342398.00","-296477.00","3428.00","17595.00","986461.00","1004056.00"
"114/10/29","108","1","1514","亞力","-36191.00","-9499.00","106888.00","1499.00","62697.00","388405.00","451102.00"
"114/10/29","108","1","1515","力山","575511.00","203033.00","-82103.00","-2016.00","694425.00","1396507.00","2090932.00"
"114/10/29","108","1","1516","川飛","85533.00","50.00","-50.00","0.00","85533.00","158204.00","243737.00"
"114/10/29","108","1","1517","利奇","-66974.00","-75240.00","-6491.00","6586.00","-142119.00","911418.00","769299.00"
"114/10/29","108","1","1519","華城","-248728.00","155546.00","321845.00","7231.00","235894.00","97983.00","333877.00"
"114/10/29","108","1","1521","大億","-76288.00","-41916.00","68005.00","-144.00","-50343.00","114260.00","63917.00"
"114/10/29","108","1","1522","堤維西","225108.00","-457450.00","167099.00","3219.00","-62024.00","988474.00","926450.00"
"114/10/29","108","1","1524","耿鼎","74708.00","-102763.00","-26317.00","--","-54372.00","444744.00","390372.00"
"114/10/29","108","1","1525","江申","-100346.00","108091.00","23000.00","148.00","30893.00","201602.00","232495.00"
"114/10/29","108","1","1526","日馳","-24717.00","-9314.00","57338.00","4072.00","27379.00","253369.00","280748.00"
"114/10/29","108","1","1527","鑽全","323385.00","-298940.00","0.00","--","24445.00","253364.00","277809.00"
"114/10/29","108","1","1528","恩德","105887.00","-32484.00","-197246.00","3476.00","-120367.00","607901.00","487534.00"
"114/10/29","108","1","1529","樂事綠能","105733.00","-118987.00","15577.00","--","2323.00","118478.00","120801.00"
"114/10/29","108","1","1530","亞崴","64485.00","-40667.00","136866.00","12644.00","173328.00","1142729.00","1316057.00"
"114/10/29","108","1","1531","高林股","-25458.00","-10169.00","-125.00","-5365.00","-41117.00","772684.00","731567.00"
"114/10/29","108","1","1532","勤美","596217.00","-341744.00","-199271.00","32116.00","87318.00","3896690.00","3984008.00"
"114/10/29","108","1","1533","車王電","-72018.00","-81689.00","133462.00","21243.00","998.00","1048371.00","1049369.00"
"114/10/29","108","1","1535","中宇","-470124.00","294392.00","-408236.00","12530.00","-571438.00","1210604.00","639166.00"
"114/10/29","108","1","1536","和大","-129166.00","-413777.00","10255.00","-159.00","-532847.00","1295720.00","762873.00"
"114/10/29","108","1","1537","廣隆","521079.00","-42330.00","-378227.00","5364.00","105886.00","1244829.00","1350715.00"
"114/10/29","108","1","1538","正峰","-32197.00","-3097.00","14747.00","14135.00","-6412.00","29169.00","22757.00"
"114/10/29","108","1","1539","巨庭","88771.00","199910.00","-30590.00","-2352.00","255739.00","473448.00","729187.00"
"114/10/29","108","1","1540","喬福","34309.00","-17684.00","-173.00","0.00","16452.00","85870.00","102322.00"
"114/10/29","108","1","1541","錩泰","151559.00","-11180.00","-138482.00","407.00","2304.00","70360.00","72664.00"
"114/10/29","108","1","1558","伸興","-23912.00","-213669.00","-45489.00","18962.00","-264108.00","3023147.00","2759039.00"
"114/10/29","108","1","1560","中砂","279825.00","-262012.00","62466.00","9518.00","89797.00","422902.00","512699.00"
"114/10/29","108","1","1568","倉佑","137370.00","-40652.00","-102834.00","2262.00","-3854.00","172408.00","168554.00"
"114/10/29","108","1","1582","信錦","355294.00","4959.00","-268374.00","76626.00","168505.00","2681311.00","2849816.00"
"114/10/29","108","1","1583","程泰","540985.00","-60646.00","34860.00","23231.00","538430.00","1941333.00","2479763.00"
"114/10/29","108","1","1587","吉茂","-41117.00","-37252.00","59275.00","6970.00","-12124.00","305852.00","293728.00"
"114/10/29","108","1","1589","永冠-KY","-180133.00","-22582.00","-106977.00","139618.00","-170074.00","3152846.00","2982772.00"
"114/10/29","108","1","1590","亞德客-KY","1213167.00","-1421873.00","911806.00","-52861.00","650239.00","3887916.00","4538155.00"
"114/10/29","108","1","1597","直得","32282.00","-89347.00","33207.00","6586.00","-17272.00","797400.00","780128.00"
"114/10/29","108","1","1598","岱宇","63663.00","103380.00","-157358.00","353.00","10038.00","595597.00","605635.00"
"114/10/29","108","1","1603","華電","144638.00","-19880.00","-109747.00","0.00","15011.00","107142.00","122153.00"
"114/10/29","108","1","1604","聲寶","163375.00","-100462.00","-77907.00","20906.00","5912.00","1611186.00","1617098.00"
