出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,<html>
114/10/28,111,3,2743,山富,-41223.00,-35648.00,98441.00,--,21570.00,331588.00,353158.00,
114/10/28,111,3,2745,五福,-62305.00,47674.00,-9352.00,--,-23983.00,155146.00,131163.00,
114/10/28,111,3,2752,豆府,203244.00,-96656.00,-191388.00,453.00,-84347.00,741170.00,656823.00,
114/10/28,111,3,2754,亞洲藏壽司,616650.00,-389474.00,-397352.00,622.00,-169554.00,412600.00,243046.00,
114/10/28,111,3,2755,揚秦,108293.00,-32969.00,-39274.00,2354.00,38404.00,462672.00,501076.00,
114/10/28,111,3,2756,聯發國際,160960.00,32657.00,69074.00,21112.00,283803.00,179427.00,463230.00,
114/10/28,111,3,2916,滿心,223026.00,-34517.00,-169709.00,--,18800.00,62442.00,81242.00,
114/10/28,111,3,2924,宏太-KY,-31406.00,36229.00,-10416.00,424.00,-5169.00,51838.00,46669.00,
114/10/28,111,3,2926,誠品生活,554548.00,-81709.00,-439575.00,40695.00,73959.00,1260733.00,1334692.00,
114/10/28,111,3,2937,集雅社,-242466.00,-163887.00,267805.00,--,-138548.00,286249.00,147701.00,
114/10/28,111,3,2947,振宇五金,112408.00,-164982.00,-248614.00,--,-301188.00,477130.00,175942.00,
114/10/28,111,3,3064,泰偉,-48310.00,-14797.00,19511.00,349.00,-43247.00,118718.00,75471.00,
114/10/28,111,3,3066,李洲,-54890.00,65794.00,-27635.00,6101.00,-10630.00,194690.00,184060.00,
114/10/28,111,3,3067,全域,-2370.00,-245.00,-2867.00,289.00,-5193.00,242327.00,237134.00,
114/10/28,111,3,3071,協禧,294244.00,24747.00,-149400.00,24597.00,194188.00,933439.00,1127627.00,
114/10/28,111,3,3073,天方能源,13467.00,-90444.00,33324.00,1499.00,-42154.00,290696.00,248542.00,
114/10/28,111,3,3078,僑威,1291257.00,-1106177.00,-548894.00,97200.00,-266614.00,1916911.00,1650297.00,
114/10/28,111,3,3081,聯亞,385219.00,-377866.00,-303816.00,888.00,-295575.00,1771121.00,1475546.00,
114/10/28,111,3,3083,網龍,-5400.00,25924.00,-5563.00,19264.00,34225.00,280189.00,314414.00,
114/10/28,111,3,3085,新零售,-33515.00,-906.00,99618.00,0.00,65197.00,22653.00,87850.00,
