出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收入,支出,繼續營業單位稅前淨利（淨損）,其他綜合損益,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,利息以外淨損益,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益
114/10/28,112,3,9938,百和,9288060.00,6430723.00,--,--,2857337.00,--,--,2857337.00,2052716.00,--,804621.00,-421773.00,382848.00,128746.00,254102.00,--,--,254102.00,166138.00,--,420240.00,462227.00,--,-208125.00,650876.00,--,-230636.00,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9939,宏全,20655958.00,16172080.00,--,--,4483878.00,--,--,4483878.00,1755265.00,--,2728613.00,-45920.00,2682693.00,500454.00,2182239.00,--,--,2182239.00,582015.00,--,2764254.00,2093183.00,--,89056.00,2655772.00,--,108482.00,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9940,信義,10807808.00,7966587.00,--,--,2841221.00,--,--,2841221.00,1184135.00,--,1657086.00,172331.00,1829417.00,469915.00,1359502.00,--,--,1359502.00,157339.00,--,1516841.00,1353924.00,--,5578.00,1511288.00,--,5553.00,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9941,裕融,30800878.00,13792691.00,--,--,17008187.00,--,--,17008187.00,10274085.00,--,6734102.00,291384.00,7025486.00,1626510.00,5398976.00,--,--,5398976.00,241911.00,--,5640887.00,5252137.00,--,146839.00,5446763.00,--,194124.00,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9942,茂順,3657072.00,2139842.00,--,--,1517230.00,--,-3948.00,1513282.00,492509.00,--,1020773.00,43441.00,1064214.00,280339.00,783875.00,--,--,783875.00,749.00,--,784624.00,782843.00,--,1032.00,783378.00,--,1246.00,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9943,好樂迪,2118572.00,964092.00,--,--,1154480.00,--,--,1154480.00,659419.00,--,495061.00,255377.00,750438.00,108187.00,642251.00,--,--,642251.00,4449.00,--,646700.00,639988.00,--,2263.00,644437.00,--,2263.00,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9944,新麗,1642565.00,1262841.00,--,--,379724.00,--,--,379724.00,417266.00,--,-37542.00,453657.00,416115.00,222428.00,193687.00,--,--,193687.00,81650.00,--,275337.00,181066.00,0.00,12621.00,264451.00,0.00,10886.00,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9945,潤泰新,18682909.00,13855277.00,--,--,4827632.00,--,--,4827632.00,1638864.00,--,3188768.00,9034016.00,12222784.00,453190.00,11769594.00,--,--,11769594.00,-1897047.00,--,9872547.00,10952088.00,--,817506.00,9278118.00,--,594429.00,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9946,三發地產,602193.00,444830.00,--,--,157363.00,--,--,157363.00,108055.00,--,49308.00,-24594.00,24714.00,11362.00,13352.00,--,--,13352.00,50400.00,--,63752.00,13352.00,--,--,63752.00,--,--,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9955,佳龍,864721.00,832539.00,--,--,32182.00,--,--,32182.00,85607.00,--,-53425.00,-782.00,-54207.00,0.00,-54207.00,--,--,-54207.00,234.00,--,-53973.00,-54207.00,--,--,-53973.00,--,--,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
