出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益
114/10/28,114,1,8054,安國,376548.00,220641.00,--,--,155907.00,--,0.00,155907.00,339208.00,--,-183301.00,266598.00,83297.00,17705.00,65592.00,--,--,65592.00,20611.00,--,86203.00,-69448.00,--,135040.00,-42464.00,--,128667.00,-0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8059,凱碩,179876.00,221195.00,--,--,-41319.00,--,--,-41319.00,63577.00,--,-104896.00,-6093.00,-110989.00,0.00,-110989.00,--,--,-110989.00,635.00,--,-110354.00,-110989.00,--,--,-110354.00,--,--,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8064,東捷,518223.00,550222.00,--,--,-31999.00,--,--,-31999.00,116121.00,--,-148120.00,30460.00,-117660.00,-17773.00,-99887.00,--,--,-99887.00,-31982.00,--,-131869.00,-108004.00,--,8117.00,-140448.00,--,8579.00,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8066,來思達,1071003.00,931030.00,--,--,139973.00,--,--,139973.00,129530.00,--,10443.00,-2561.00,7882.00,2374.00,5508.00,--,--,5508.00,10925.00,--,16433.00,5853.00,--,-345.00,15146.00,--,1287.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8067,志旭,32610.00,18996.00,--,--,13614.00,--,--,13614.00,19405.00,--,-5791.00,-661.00,-6452.00,0.00,-6452.00,--,--,-6452.00,-2459.00,--,-8911.00,-6452.00,--,0.00,-8911.00,--,0.00,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8068,全達,180612.00,169940.00,--,--,10672.00,--,--,10672.00,33042.00,--,-22370.00,22454.00,84.00,749.00,-665.00,--,--,-665.00,-20077.00,--,-20742.00,3515.00,--,-4180.00,-16359.00,--,-4383.00,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8069,元太,8059437.00,3851753.00,--,--,4207684.00,--,--,4207684.00,2060412.00,--,2147272.00,651352.00,2798624.00,601665.00,2196959.00,--,--,2196959.00,1440189.00,--,3637148.00,2196599.00,--,360.00,3630529.00,--,6619.00,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8071,能率網通,488783.00,414097.00,--,--,74686.00,0.00,0.00,74686.00,96941.00,--,-22255.00,-215.00,-22470.00,22659.00,-45129.00,--,--,-45129.00,4961.00,--,-40168.00,-42557.00,0.00,-2572.00,-37596.00,0.00,-2572.00,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8074,鉅橡,306406.00,239867.00,--,--,66539.00,--,--,66539.00,41213.00,-169.00,25157.00,1236.00,26393.00,5515.00,20878.00,--,--,20878.00,334.00,--,21212.00,19302.00,--,1576.00,19434.00,--,1778.00,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8076,伍豐,427259.00,274201.00,--,--,153058.00,1011.00,781.00,152828.00,137650.00,--,15178.00,26358.00,41536.00,29433.00,12103.00,--,--,12103.00,-1838.00,--,10265.00,11292.00,--,811.00,9088.00,--,1177.00,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8077,洛��,262333.00,182127.00,--,--,80206.00,--,--,80206.00,33526.00,0.00,46680.00,-11810.00,34870.00,2737.00,32133.00,--,--,32133.00,--,--,32133.00,--,--,--,--,--,--,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8080,泰霖,60168.00,45062.00,--,--,15106.00,--,--,15106.00,6947.00,--,8159.00,-706.00,7453.00,239.00,7214.00,--,--,7214.00,-502.00,--,6712.00,7214.00,--,--,6712.00,--,--,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8083,瑞穎,280467.00,162378.00,--,--,118089.00,--,--,118089.00,39001.00,--,79088.00,4005.00,83093.00,16619.00,66474.00,--,--,66474.00,--,--,66474.00,--,--,--,--,--,--,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8084,巨虹,181080.00,88668.00,--,--,92412.00,--,--,92412.00,81133.00,--,11279.00,1607.00,12886.00,4314.00,8572.00,--,--,8572.00,149.00,--,8721.00,6201.00,--,2371.00,6350.00,--,2371.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8085,福華,157662.00,145811.00,--,--,11851.00,--,--,11851.00,26965.00,--,-15114.00,-22087.00,-37201.00,50.00,-37251.00,--,--,-37251.00,-119948.00,--,-157199.00,-37251.00,--,--,-157199.00,--,--,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8086,宏捷科,771758.00,610375.00,--,--,161383.00,--,--,161383.00,82302.00,--,79081.00,18030.00,97111.00,14587.00,82524.00,--,--,82524.00,--,--,82524.00,--,--,--,--,--,--,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8087,麗升能源,93187.00,73851.00,--,--,19336.00,--,--,19336.00,24969.00,--,-5633.00,1434.00,-4199.00,1556.00,-5755.00,--,--,-5755.00,0.00,--,-5755.00,-5755.00,--,0.00,-5755.00,--,0.00,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8088,品安,291722.00,279688.00,--,--,12034.00,--,--,12034.00,14990.00,--,-2956.00,13065.00,10109.00,1930.00,8179.00,--,--,8179.00,244.00,--,8423.00,--,--,--,--,--,--,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8089,康全電訊,382992.00,248152.00,--,--,134840.00,--,--,134840.00,151134.00,--,-16294.00,20141.00,3847.00,11144.00,-7297.00,--,--,-7297.00,-26803.00,--,-34100.00,-7297.00,--,--,-34100.00,--,--,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
