出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,合併前非屬共同控制股權損益,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,本期淨利（淨損）,營業收入,營業成本,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,收入,支出,其他綜合損益
114/10/28,111,1,2852,第一保,,,,,,385180.00,,,,--,,,254096.00,--,--,--,--,--,--,0.38,,,25507.00,,--,,--,,,,,,,,,,115472.00,1669731.00,1143539.00,141012.00,-33.00,140979.00,115472.00,138624.00,,,,,,,,,,,
114/10/28,111,1,2867,三商壽,,,,,,1100305.00,,,,--,,,-5407312.00,--,--,--,--,--,--,-1.22,,,264974.00,,--,,--,,,,,,,,,,-3317994.00,31228587.00,33214792.00,-3086510.00,33490.00,-3053020.00,-3317994.00,-2089318.00,,,,,,,,,,,
114/10/28,111,2,2855,統一證,,,,,,,,,-162745.00,--,,-92995.00,-255740.00,,--,,-254368.00,--,-1372.00,-0.11,,,123156.00,,--,,--,,-165761.00,,3016.00,2555686.00,2697287.00,-141601.00,102012.00,-39589.00,-162745.00,,,,,,,,,,,,,,,,,,
114/10/28,111,2,6005,群益證,,,,,,,,,156637.00,--,,-464845.00,-308208.00,,--,,-465995.00,--,157787.00,0.01,,,379456.00,,--,,--,,20074.00,,136563.00,3510469.00,3530653.00,-20184.00,556277.00,536093.00,156637.00,,,,,,,,,,,,,,,,,,
114/10/28,111,2,6024,群益期,,,,,,,,,314702.00,--,,48623.00,363325.00,,--,,363270.00,--,55.00,1.50,,,59757.00,,--,,--,,314844.00,,-142.00,1365243.00,1118939.00,246304.00,128155.00,374459.00,314702.00,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1101,台泥,,,,,,1788738.00,,,856506.00,0.00,,,10100831.00,1204144.00,--,-347638.00,10317964.00,--,-217133.00,0.20,,,315605.00,,--,,--,,,,,,,,,1172111.00,856506.00,22973461.00,20977100.00,207623.00,964488.00,,,,--,--,1996361.00,--,--,1996361.00,--,9244325.00,,,
114/10/28,111,1,1102,亞泥,,,,,,511629.00,,,2716844.00,--,,,9068318.00,2533389.00,--,183455.00,7993010.00,--,1075308.00,0.76,,,717167.00,,--,,--,,,,,,,,,3434011.00,2716844.00,19681118.00,16705226.00,2464263.00,969748.00,,,,--,--,2975892.00,--,--,2975892.00,--,6351474.00,,,
114/10/28,111,1,1103,嘉泥,,,,,,115600.00,,,-77250.00,--,,,588461.00,-80636.00,--,3386.00,555838.00,--,32623.00,-0.12,,,25993.00,,--,,--,,,,,,,,,-51257.00,-77250.00,512577.00,497255.00,-100278.00,49021.00,,,,--,--,15322.00,--,--,15322.00,--,665711.00,,,
114/10/28,111,1,1104,環泥,,,,,,120521.00,,,538395.00,--,,,1031750.00,534814.00,--,3581.00,1028070.00,--,3680.00,0.82,,,33245.00,,--,,--,,,,,,,,,571640.00,538395.00,1532253.00,1240036.00,171696.00,399944.00,,,,--,--,292217.00,--,--,292217.00,--,493355.00,,,
114/10/28,111,1,1108,幸福,,,,,,55659.00,,,54885.00,--,,,53043.00,54885.00,--,--,53043.00,--,--,0.14,,,15432.00,,--,,--,,,,,,,,,70317.00,54885.00,880911.00,739503.00,85602.00,-15285.00,,,,--,--,141408.00,--,--,141408.00,-147.00,-1842.00,,,
114/10/28,111,1,1109,信大,,,,,,83257.00,,,110325.00,--,,,310529.00,88509.00,--,21816.00,221644.00,--,88885.00,0.26,,,36942.00,,--,,--,,,,,,,,,147267.00,110325.00,1239184.00,1027988.00,127939.00,19328.00,,,,--,--,211196.00,--,--,211196.00,--,200204.00,,,
