公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
8443 - 阿瘦,不適用,108年 年度,0.0,"         10,020,000",0.0
8443 - 阿瘦,不適用,108年 年度,0.0,"         10,020,000",0.0
8443 - 阿瘦,不適用,108年 年度,0.0,"         10,020,000",0.0
8444 - 綠河-KY,109/06/19,108年 年度,0.0,                  0,1.50000000
8444 - 綠河-KY,109/06/19,108年 年度,0.0,                  0,1.50000000
8444 - 綠河-KY,109/06/19,108年 年度,0.0,                  0,1.50000000
8444 - 綠河-KY,109/06/19,108年 年度,0.0,                  0,1.50000000
8446 - 華研,不適用,108年 第2季,0.0,                  0,0.0
8446 - 華研,不適用,108年 第2季,0.0,                  0,0.0
8446 - 華研,不適用,108年 第3季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第4季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第3季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第2季,0.0,                  0,0.0
8446 - 華研,不適用,108年 第4季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第4季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第3季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第4季,4.50000000,"        238,114,823",0.0
8446 - 華研,不適用,108年 第2季,0.0,                  0,0.0
8446 - 華研,不適用,108年 第3季,4.50000000,"        238,114,823",0.0
8450 - 霹靂,109/05/27,108年 年度,0.0,                  0,0.0
8450 - 霹靂,109/05/27,108年 年度,0.0,                  0,0.0
8450 - 霹靂,109/05/27,108年 年度,0.0,                  0,0.0
8450 - 霹靂,109/05/27,108年 年度,0.0,                  0,0.0
8454 - 富邦媒,109/05/15,108年 年度,8.37940000,"      1,190,497,250",0.0
8454 - 富邦媒,109/05/15,108年 年度,8.37940000,"      1,190,497,250",0.0
8454 - 富邦媒,109/05/15,108年 年度,8.37940000,"      1,190,497,250",0.0
8454 - 富邦媒,109/05/15,108年 年度,8.37940000,"      1,190,497,250",0.0
8455 - 大拓-KY,109/06/20,108年 年度,0.16126999,"          4,067,077",0.0
8455 - 大拓-KY,109/06/20,108年 年度,0.16126999,"          4,067,077",0.0
8455 - 大拓-KY,109/06/20,108年 年度,0.16126999,"          4,067,077",0.0
8455 - 大拓-KY,109/06/20,108年 年度,0.16126999,"          4,067,077",0.0
8462 - 柏文,109/06/03,108年 年度,5.37937876,"        377,980,860",0.50000001
8462 - 柏文,109/06/03,108年 年度,5.37937876,"        377,980,860",0.50000001
8462 - 柏文,109/06/03,108年 年度,5.37937876,"        377,980,860",0.50000001
8462 - 柏文,109/06/03,108年 年度,5.37937876,"        377,980,860",0.50000001
8463 - 潤泰材,109/05/21,108年 年度,0.49000000,"         73,500,000",0.0
