出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/05","115","2","7765","中華資安","2705219.00","396732.00","3101951.00","1135605.00","51784.00","1187389.00","406810.00","--","1082562.00","418610.00","6580.00","--","--","--","--","--","1914562.00","--","0.00","0.00","47.06"
"115/08/05","115","2","7799","禾榮科","10038031.00","1455887.00","11493918.00","73941.00","255128.00","329069.00","1582450.00","--","10456372.00","-164997.00","-708976.00","--","11164849.00","--","--","--","11164849.00","0.00","249500.00","0.00","70.55"
"115/08/05","115","2","8039","台虹","10471770.00","6128411.00","16600181.00","4408299.00","967283.00","5375582.00","2638040.00","--","2555274.00","5515958.00","486966.00","--","11196238.00","--","--","28361.00","11224599.00","--","135000.00","0.00","42.44"
"115/08/05","115","2","8114","振樺電","12993951.00","9539925.00","22533876.00","7852550.00","718673.00","8571223.00","1076409.00","--","5167771.00","3742285.00","-75346.00","--","9911119.00","--","--","4051534.00","13962653.00","0.00","0.00","0.00","92.08"
"115/08/05","115","2","8163","達方","21716281.00","13277840.00","34994121.00","15657822.00","6021606.00","21679428.00","2800000.00","--","4072009.00","3619396.00","360608.00","-89024.00","10762989.00","--","--","2551704.00","13314693.00","0.00","0.00","4000000.00","39.00"
"115/08/05","115","2","8215","明基材","9525082.00","14202395.00","23727477.00","8997845.00","7492531.00","16490376.00","3206745.00","--","193709.00","1337690.00","62491.00","--","4800635.00","--","--","2436466.00","7237101.00","0.00","0.00","0.00","14.97"
"115/08/05","115","2","8261","富鼎","5809620.00","1277352.00","7086972.00","1377245.00","2677.00","1379922.00","1188784.00","--","3015419.00","1570274.00","-67991.00","--","5706486.00","--","--","564.00","5707050.00","--","0.00","0.00","48.00"
"115/08/05","115","2","8271","宇瞻","20175047.00","1769314.00","21944361.00","10921100.00","1333638.00","12254738.00","1296142.00","--","1733637.00","6711081.00","-228725.00","0.00","9512135.00","--","--","177488.00","9689623.00","0.00","0.00","0.00","73.39"
"115/08/05","115","2","8374","羅昇","3662748.00","2091558.00","5754306.00","2127212.00","699406.00","2826618.00","1122505.00","--","379423.00","571111.00","1979.00","--","2075018.00","--","--","852670.00","2927688.00","0.00","0.00","0.00","18.49"
"115/08/05","115","2","8454","富邦媒","12678504.00","16048997.00","28727501.00","18463668.00","1877066.00","20340734.00","2649753.00","--","1723579.00","4122528.00","-190941.00","--","8304919.00","--","--","81848.00","8386767.00","--","0.00","0.00","31.34"
"115/08/05","115","2","9907","統一實","16183001.00","19340465.00","35523466.00","9322280.00","4433674.00","13755954.00","15791453.00","--","233034.00","5286253.00","-428875.00","--","20881865.00","--","--","885647.00","21767512.00","0.00","0.00","0.00","13.22"
