出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","111","1","6640","均華","394270.00","233317.00","--","--","160953.00","--","--","160953.00","75469.00","--","85484.00","17870.00","103354.00","24005.00","79349.00","--","--","79349.00","12852.00","--","92201.00","79163.00","--","186.00","92015.00","--","186.00","2.92"
"114/10/29","111","1","6642","富致","147179.00","68932.00","--","--","78247.00","--","--","78247.00","31128.00","--","47119.00","17075.00","64194.00","13381.00","50813.00","--","--","50813.00","3189.00","--","54002.00","50813.00","--","--","54002.00","--","--","1.36"
"114/10/29","111","1","6643","M31","247722.00","--","--","--","247722.00","--","--","247722.00","223863.00","--","23859.00","23919.00","47778.00","7998.00","39780.00","--","--","39780.00","-1515.00","--","38265.00","39780.00","--","--","38265.00","--","--","1.28"
"114/10/29","111","1","6649","台生材","16366.00","3598.00","--","--","12768.00","--","--","12768.00","18464.00","--","-5696.00","1130.00","-4566.00","0.00","-4566.00","--","--","-4566.00","--","--","-4566.00","-4566.00","--","--","-4566.00","--","--","-0.12"
"114/10/29","111","1","6651","全宇昕","418822.00","263992.00","--","--","154830.00","--","--","154830.00","69131.00","--","85699.00","22817.00","108516.00","25627.00","82889.00","--","--","82889.00","--","--","82889.00","--","--","--","--","--","--","2.51"
"114/10/29","111","1","6654","天正國際","142202.00","108536.00","--","--","33666.00","--","--","33666.00","27450.00","--","6216.00","24763.00","30979.00","6456.00","24523.00","--","--","24523.00","17399.00","--","41922.00","24523.00","--","--","41922.00","--","--","0.66"
"114/10/29","111","1","6661","威健生技","71955.00","41610.00","--","--","30345.00","--","--","30345.00","34657.00","--","-4312.00","-767.00","-5079.00","15.00","-5094.00","--","--","-5094.00","-1800.00","--","-6894.00","-5095.00","--","1.00","-6895.00","--","1.00","-0.22"
"114/10/29","111","1","6662","樂斯科","50453.00","28983.00","--","--","21470.00","--","--","21470.00","12702.00","--","8768.00","-110.00","8658.00","1731.00","6927.00","--","--","6927.00","-1149.00","--","5778.00","--","--","--","--","--","--","0.27"
"114/10/29","111","1","6664","群翊","506455.00","291693.00","--","--","214762.00","--","--","214762.00","82511.00","--","132251.00","49221.00","181472.00","40109.00","141363.00","--","--","141363.00","16399.00","--","157762.00","141363.00","--","0.00","157762.00","--","0.00","2.57"
"114/10/29","111","1","6667","信紘科","536570.00","435332.00","--","--","101238.00","--","--","101238.00","67545.00","--","33693.00","8780.00","42473.00","10822.00","31651.00","--","--","31651.00","25.00","--","31676.00","31651.00","--","0.00","31676.00","--","0.00","0.80"
"114/10/29","111","1","6679","鈺太","677943.00","373721.00","--","--","304222.00","--","--","304222.00","124735.00","--","179487.00","45579.00","225066.00","45625.00","179441.00","--","--","179441.00","16707.00","--","196148.00","179441.00","--","--","196148.00","--","--","4.25"
"114/10/29","111","1","6680","鑫創電子","87484.00","62275.00","--","--","25209.00","--","--","25209.00","22303.00","--","2906.00","7669.00","10575.00","1782.00","8793.00","--","--","8793.00","--","--","8793.00","--","--","--","--","--","--","0.48"
"114/10/29","111","1","6683","雍智科技","367700.00","186433.00","--","--","181267.00","--","--","181267.00","62995.00","--","118272.00","24043.00","142315.00","29277.00","113038.00","--","--","113038.00","--","--","113038.00","--","--","--","--","--","--","4.17"
"114/10/29","111","1","6684","安格","159816.00","66131.00","--","--","93685.00","--","--","93685.00","48392.00","--","45293.00","488.00","45781.00","9900.00","35881.00","--","--","35881.00","31.00","--","35912.00","--","--","--","--","--","--","1.47"
"114/10/29","111","1","6690","安�硌穈T","358992.00","223547.00","--","--","135445.00","--","--","135445.00","102444.00","--","33001.00","-1573.00","31428.00","3020.00","28408.00","--","--","28408.00","-33.00","--","28375.00","28408.00","0.00","--","28375.00","0.00","--","1.67"
"114/10/29","111","1","6693","廣閎科","357170.00","256568.00","--","--","100602.00","--","--","100602.00","48145.00","--","52457.00","13698.00","66155.00","13231.00","52924.00","--","--","52924.00","291.00","--","53215.00","52924.00","--","--","53215.00","--","--","1.24"
"114/10/29","111","1","6697","東捷資訊","437722.00","387938.00","--","--","49784.00","--","--","49784.00","27544.00","--","22240.00","1609.00","23849.00","4267.00","19582.00","--","--","19582.00","2425.00","--","22007.00","19582.00","--","--","22007.00","--","--","0.72"
